Comment,Designator,Footprint,LCSC
LED,D3,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
47K,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
220k,R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
470R,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
TPS25940x,IC3,TI_WQFN_20_EP,
LED,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
DS18B20,U4,TO-92_Inline,
Conn,J2,PinSocket_1x20_P2.54mm_Vertical,
1n5,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
TP,TP2,TestPoint_Pad_D1.0mm,
470k,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
10k,R15,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4u7,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
27K2,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
BMP280,U2,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,
TP,TP1,TestPoint_Pad_D1.0mm,
Pico,U1,RPi_Pico_SMD_TH,
Antenna,AE1,PinHeader_1x01_P2.54mm_Vertical,
120k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4u7,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
RFM95W-868S2,U3,HOPERF_RFM9XW_SMD,
4k7,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
33K2,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
4u7,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
10k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1n,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
TP,TP3,TestPoint_Pad_D1.0mm,
10u,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100n,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100n,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Conn,J1,PinSocket_1x20_P2.54mm_Vertical,
MCP73871,IC1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,
470R,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
220n,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
100k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,D1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
470R,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
XB8089D,IC2,XB8089D,
