Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,Antenna,PinHeader_1x01_P2.54mm_Vertical,89.9,-91.475,0.0,top
C1,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.3,-106.0,180.0,top
C2,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,122.25,-103.45,90.0,top
C3,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.775,-103.0,0.0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.775,-100.9,0.0,top
C5,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,81.3,-94.2,-90.0,top
C6,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,82.575,-84.45,0.0,top
C7,4u7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.7,-91.8125,-90.0,top
C8,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,75.8,-89.65,0.0,top
C9,1n5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.85,-93.9,-90.0,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,104.075,-83.95,90.0,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,97.425,-83.95,90.0,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,110.6,-83.95,90.0,top
IC1,MCP73871,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,82.325,-89.625,90.0,top
IC2,XB8089D,XB8089D,75.98,-95.45,0.0,top
IC3,TPS25940x,TI_WQFN_20_EP,123.925,-91.525,0.0,top
J1,Conn,PinSocket_1x20_P2.54mm_Vertical,76.225,-110.425,90.0,top
J2,Conn,PinSocket_1x20_P2.54mm_Vertical,124.425,-137.625,-90.0,top
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,80.325,-107.5,0.0,top
R2,4k7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.4,-96.275,-90.0,top
R3,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.7,-84.625,0.0,top
R4,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.6,-84.625,0.0,top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.475,-94.2,-90.0,top
R6,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81.1,-99.85,-90.0,top
R7,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,107.3,-83.95,-90.0,top
R8,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.675,-83.95,-90.0,top
R9,470R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.85,-83.95,-90.0,top
R10,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.175,-84.7,180.0,top
R11,120k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.2,-84.875,180.0,top
R12,27K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.275,-84.875,180.0,top
R13,33K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.35,-84.875,180.0,top
R14,47K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.35,-89.625,180.0,top
R15,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,122.7,-96.75,90.0,top
R16,470k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.675,-98.85,0.0,top
R17,220k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.625,-96.175,0.0,top
U1,Pico,RPi_Pico_SMD_TH,100.37,-124.025,-90.0,top
U2,BMP280,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,122.575,-106.975,-90.0,top
U3,RFM95W-868S2,HOPERF_RFM9XW_SMD,101.025,-100.275,180.0,top
U4,DS18B20,TO-92_Inline,83.78,-106.175,0.0,top
